Machine Learning Method,GLCM Feature,Accuracy,Sensitivity,Specificity,Precision,F1-score
Decision Tree,homogeneity,31.90 ± 18.57,10.00 ± 30.00,66.67 ± 42.16,7.14 ± 21.43,19.90 ± 14.98
Decision Tree,contrast,60.48 ± 9.77,72.50 ± 42.50,30.00 ± 45.83,56.19 ± 30.03,47.06 ± 11.46
Decision Tree,correlation,53.33 ± 13.93,50.00 ± 50.00,50.00 ± 50.00,33.33 ± 33.33,38.22 ± 15.55
Decision Tree,dissimilarity,52.14 ± 13.15,52.50 ± 48.02,50.00 ± 50.00,41.90 ± 36.00,37.98 ± 14.93
Decision Tree,energy,53.33 ± 13.93,50.00 ± 50.00,50.00 ± 50.00,33.33 ± 33.33,38.22 ± 15.55
KNN,homogeneity,41.19 ± 20.37,47.50 ± 43.95,38.33 ± 43.49,33.98 ± 29.31,31.56 ± 19.78
KNN,contrast,63.33 ± 13.81,85.50 ± 29.87,21.67 ± 35.00,62.76 ± 24.00,52.60 ± 16.80
KNN,correlation,52.38 ± 12.60,64.50 ± 32.67,31.67 ± 41.13,67.38 ± 17.72,44.92 ± 9.18
KNN,dissimilarity,54.52 ± 16.72,55.00 ± 45.83,43.33 ± 47.26,53.81 ± 37.32,43.21 ± 15.55
KNN,energy,61.67 ± 25.25,61.00 ± 42.00,56.67 ± 38.87,55.50 ± 35.12,55.58 ± 28.08
LDA,homogeneity,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
LDA,contrast,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
LDA,correlation,61.90 ± 10.21,80.00 ± 40.00,23.33 ± 39.58,52.86 ± 26.64,48.63 ± 12.93
LDA,dissimilarity,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
LDA,energy,70.48 ± 16.61,82.50 ± 35.44,40.00 ± 48.99,70.48 ± 27.67,60.33 ± 21.61
Logistic Regression,homogeneity,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
Logistic Regression,contrast,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
Logistic Regression,correlation,61.90 ± 10.21,80.00 ± 40.00,23.33 ± 39.58,52.86 ± 26.64,48.63 ± 12.93
Logistic Regression,dissimilarity,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
Logistic Regression,energy,70.48 ± 16.61,82.50 ± 35.44,40.00 ± 48.99,70.48 ± 27.67,60.33 ± 21.61
Random Forest,homogeneity,32.14 ± 21.51,30.00 ± 41.53,36.67 ± 37.12,21.71 ± 27.76,24.13 ± 18.43
Random Forest,contrast,54.29 ± 15.57,60.00 ± 43.59,50.00 ± 44.72,48.48 ± 34.04,43.27 ± 20.33
Random Forest,correlation,39.05 ± 23.02,45.00 ± 40.00,31.67 ± 41.13,44.76 ± 32.22,32.44 ± 20.17
Random Forest,dissimilarity,57.14 ± 9.93,65.00 ± 43.59,40.00 ± 48.99,58.57 ± 32.65,44.55 ± 10.89
Random Forest,energy,48.10 ± 29.10,45.00 ± 45.83,48.33 ± 39.76,39.33 ± 41.25,40.83 ± 30.54
SVM,homogeneity,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
SVM,contrast,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
SVM,correlation,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
SVM,dissimilarity,63.33 ± 5.24,100.00 ± 0.00,0.00 ± 0.00,63.33 ± 5.24,49.24 ± 6.52
SVM,energy,73.33 ± 16.52,87.50 ± 30.10,40.00 ± 48.99,70.48 ± 27.67,63.76 ± 22.62
